S.no,Player Name,Runs in Flat Pitches,Runs in Red Soil Pitches,Runs in Black Soil Pitches,Dismissals in Flat Pitches,Dismissals in Red Soil Pitches,Dismissals in Black Soil Pitches
1210,KH Devdhar,309,66,0,9,4,0
1211,CFK van Wyk,375,0,0,11,0,0
1212,A Mhatre,342,32,0,8,1,0
1213,AK Perera,374,0,0,9,0,0
1214,Musaddiq Ahmed,374,0,0,9,0,0
1215,SW Currie,374,0,0,9,0,0
1216,K Rabada,287,78,8,21,2,3
1217,W Jaffer,373,0,0,10,0,0
1218,M Gogev,373,0,0,7,0,0
1219,BW Sanderson,372,0,0,38,0,0
1220,Z Khan,324,48,0,25,4,0
1221,OP Stone,372,0,0,22,0,0
1222,JN Mohammed,372,0,0,15,0,0
1223,TA Wood,372,0,0,15,0,0
1224,ND Paranavithana,372,0,0,12,0,0
1225,KDC Clarke,371,0,0,16,0,0
1226,FMK Morris,371,0,0,12,0,0
1227,Rohan Kadam,371,0,0,8,0,0
1228,H Kerr,370,0,0,18,0,0
1229,Azmatullah Omarzai,370,0,0,13,0,0
1230,Mohammad Saifuddin,370,0,0,10,0,0
1231,H Madavi,370,0,0,6,0,0
1232,Jaspal Singh,369,0,0,7,0,0
1233,JAH Marshall,369,0,0,6,0,0
1234,H Thaker,368,0,0,10,0,0
1235,Khawaja Nafay,367,0,0,12,0,0
1236,DY Pennington,366,0,0,26,0,0
1237,A Dizija,365,0,0,9,0,0
1238,Aqib Ilyas,364,0,0,11,0,0
1239,Krishan Sanjula,364,0,0,6,0,0
1240,SR Waugh,362,0,0,6,0,0
1241,MS Bisla,344,17,0,9,1,0
1242,NR Kumar,361,0,0,10,0,0
1243,PM Siddle,360,0,0,27,0,0
1244,MMMS Cooray,360,0,0,11,0,0
1245,R Satheesan,360,0,0,8,0,0
1246,GL Cloete,359,0,0,13,0,0
1247,LA Pomersbach,251,108,0,8,1,0
1248,SN Gunasinghe,358,0,0,8,0,0
1249,TAM Siriwardana,336,0,21,15,0,0
1250,AS Joseph,334,22,0,23,0,1
1251,CG Heaphy,354,0,0,11,0,0
1252,L Wood,353,0,0,19,0,0
1253,JTA Burnham,353,0,0,18,0,0
1254,J Da Silva,353,0,0,13,0,0
1255,P Khadka,353,0,0,4,0,0
1256,TS Nethula,352,0,0,19,0,0
1257,MDK Perera,352,0,0,13,0,0
1258,BJJ Wells,351,0,0,8,0,0
1259,M Penna,351,0,0,7,0,0
1260,MG Hogan,350,0,0,17,0,0
1261,WRKS Darshika,350,0,0,8,0,0
1262,Ahsan Ali,349,0,0,15,0,0
1263,S Jayathilake,349,0,0,9,0,0
1264,Razmal Shigiwal,349,0,0,6,0,0
1265,BE Patterson,348,0,0,9,0,0
1266,AD Thomason,347,0,0,13,0,0
1267,PTM Dabare,346,0,0,8,0,0
1268,Hazratullah,344,0,0,14,0,0
1269,AJ Freeborn,344,0,0,8,0,0
1270,SW Ambris,344,0,0,7,0,0
1271,DM Gondaria,343,0,0,9,0,0
1272,Fawad Alam,343,0,0,9,0,0
1273,S Bau,341,0,0,14,0,0
1274,K Zondo,341,0,0,12,0,0
1275,NJ Reardon,341,0,0,12,0,0
1276,DR Drew,341,0,0,6,0,0
1277,MF Maharoof,334,6,0,17,1,0
1278,Raqibul Hasan,340,0,0,14,0,0
1279,JM Kemp,328,11,0,12,1,0
1280,Y Venugopal Rao,302,37,0,12,1,0
1281,TMJ Smith,338,0,0,17,0,0
1282,S Muthusamy,322,0,16,8,0,2
1283,Dian Forrester,338,0,0,5,0,0
1284,JC Tredwell,337,0,0,13,0,0
1285,MS Atapattu,337,0,0,8,0,0
1286,Taranjeet Singh,337,0,0,6,0,0
1287,JL Finnie,336,0,0,17,0,0
1288,Aqib Iqbal,336,0,0,9,0,0
1289,UT Yadav,305,18,12,21,1,2
1290,SP Goswami,236,99,0,8,7,0
1291,Dylan Steyn,335,0,0,7,0,0
1292,B George,335,0,0,5,0,0
1293,WAT Beer,334,0,0,18,0,0
1294,GH Vihari,276,57,1,13,2,1
1295,ME Claydon,334,0,0,14,0,0
1296,KP Navgire,264,0,69,12,0,2
1297,G Malla,333,0,0,10,0,0
1298,MRJA Perera,333,0,0,9,0,0
1299,KPNM Karunanayake,333,0,0,3,0,0
1300,Riazat Ali Shah,333,0,0,2,0,0
1301,MJ Leach,332,0,0,22,0,0
1302,Mohammad Amir,332,0,0,21,0,0
1303,JJ Bushnell,332,0,0,10,0,0
1304,TC Smith,332,0,0,9,0,0
1305,Fiaz Ahmed,332,0,0,7,0,0
1306,J Botha,326,5,0,15,1,0
1307,CP Wood,331,0,0,14,0,0
1308,HJ Cullen,331,0,0,11,0,0
1309,BJ Rohrer,331,0,0,9,0,0
1310,T Kohli,189,142,0,5,3,0
1311,S Snater,330,0,0,21,0,0
1312,A Shahzad,330,0,0,19,0,0
1313,MG Booth,330,0,0,10,0,0
1314,C Chetty,330,0,0,8,0,0
1315,IJ Westwood,330,0,0,6,0,0
1316,Z Malik,328,0,0,17,0,0
1317,RMVD Gunaratne,328,0,0,10,0,0
1318,M Ford,328,0,0,5,0,0
1319,YSD Seneveratne,328,0,0,3,0,0
1320,Irfan Khan,327,0,0,12,0,0
1321,R Wijesooriya,327,0,0,8,0,0
1322,Taufeeq Umar,327,0,0,5,0,0
1323,DC Thomas,326,0,0,19,0,0
1324,SJ MacBeth,326,0,0,11,0,0
1325,H Graham,326,0,0,10,0,0
1326,VL Jani,326,0,0,8,0,0
1327,Adil Butt (2),324,0,0,3,0,0
1328,FK Cowdrey,323,0,0,13,0,0
1329,Chaitanya Bishnoi,174,149,0,6,3,0
1330,Sohail Akhtar,322,0,0,10,0,0
1331,Kamran Khan (2),322,0,0,7,0,0
1332,SA Engelbrecht,289,0,33,5,0,1
1333,HMRKB Herath,321,0,0,20,0,0
1334,MR Quinn,321,0,0,20,0,0
1335,Saqlain Arshad,321,0,0,14,0,0
1336,L Scott,321,0,0,9,0,0
1337,Mohammad Shahzad,321,0,0,9,0,0
1338,D Potgieter,320,0,0,9,0,0
1339,BW Harmison,320,0,0,7,0,0
1340,HAM Shah,320,0,0,7,0,0
1341,JJ Huo,320,0,0,5,0,0
1342,WRS Gidman,319,0,0,10,0,0
1343,PL Mommsen,319,0,0,4,0,0
1344,S Meghana,245,0,73,9,0,1
1345,Saim Hussain,318,0,0,5,0,0
1346,JA Brooks,317,0,0,15,0,0
1347,NL Buck,316,0,0,20,0,0
1348,P Dogra,139,177,0,3,5,0
1349,JT Ball,282,33,0,23,2,0
1350,D Ganga,315,0,0,8,0,0
1351,GID Lavelle,314,0,0,8,0,0
1352,Gulsan Jha,274,39,0,10,3,0
1353,Usman Patel,313,0,0,8,0,0
1354,SL Malinga,285,27,0,24,6,1
1355,M Austin,312,0,0,11,0,0
1356,BA Pai,312,0,0,9,0,0
1357,Sammu Ashan,312,0,0,3,0,0
1358,VD Philander,230,0,81,15,0,1
1359,J Merlo,311,0,0,8,0,0
1360,HW Podmore,310,0,0,16,0,0
1361,AJ Tye,310,0,0,14,0,1
1362,OF Smith,300,9,1,12,0,0
1363,TP Ludeman,310,0,0,8,0,0
1364,Vishnu Vinod,187,122,0,7,2,0
1365,R Upamal,309,0,0,8,0,0
1366,KJ Stagno,309,0,0,7,0,0
1367,PJ van Biljon,308,0,0,11,0,0
1368,Ayesha Zafar,308,0,0,8,0,0
1369,JAD Lawrenson,308,0,0,4,0,0
1370,GG White,307,0,0,25,0,0
1371,Yasir Hameed,307,0,0,8,0,0
1372,D Murphy,307,0,0,7,0,0
1373,Suliman Safi,307,0,0,7,0,0
1374,GSNFG Jayasuriya,306,0,0,17,0,0
1375,DS Weerakkody,306,0,0,10,0,0
1376,PARP Perera,306,0,0,5,0,0
1377,MJ Ackerman,305,0,0,10,0,0
1378,CA Henry,305,0,0,7,0,0
1379,GP Thorpe,305,0,0,3,0,0
1380,C Rushworth,304,0,0,23,0,0
1381,MJ McClenaghan,255,49,0,16,4,0
1382,AWJ Auguste,304,0,0,12,0,0
1383,Parth Sahani,225,79,0,6,3,0
1384,R Lord,304,0,0,9,0,0
1385,S Smale,303,0,0,11,0,0
1386,Manan Bashir,303,0,0,4,0,0
1387,JL Lawlor,302,0,0,12,0,0
1388,KA Edwards,199,103,0,2,2,0
1389,WT Dilshan,301,0,0,10,0,0
1390,KC D'Souza,300,0,0,5,0,0
1391,Aftab Ahmed,299,0,0,10,0,0
1392,N Deonarine,278,21,0,7,2,0
1393,II Selemani,298,0,0,5,0,0
1394,Pratham Singh,297,0,0,8,0,0
1395,A Dananjaya,281,15,0,18,0,0
1396,K Lewis,296,0,0,15,0,0
1397,Shadman Islam,296,0,0,14,0,0
1398,Fatima Sana,296,0,0,10,0,0
1399,HB Shipley,296,0,0,9,0,0
1400,SB Dubey,282,13,0,9,1,0
1401,P Chopra,295,0,0,5,0,0
1402,MH McKiernan,294,0,0,17,0,0
1403,DB Ravi Teja,66,228,0,5,4,0
1404,AJ Mosca,231,62,0,6,0,0
1405,C Esterhuizen,293,0,0,6,0,0
1406,Mohammad Nadeem,293,0,0,6,0,0
1407,FJ Colson,292,0,0,15,0,0
1408,D Myers,264,28,0,13,1,0
1409,MK Lomror,249,1,42,11,2,1
1410,Ravinderpal Singh,292,0,0,7,0,0
1411,PC Valthaty,259,33,0,5,1,0
1412,SC Getkate,291,0,0,17,0,0
1413,J Anderson,291,0,0,6,0,0
1414,Abid Ali,291,0,0,5,0,0
1415,S Molineux,290,0,0,15,0,0
1416,Haider Butt,290,0,0,5,0,0
1417,B Kumar,175,74,40,17,8,4
1418,Ibrahim Zadran,289,0,0,12,0,0
1419,NR Hobson,289,0,0,9,0,0
1420,Himmat Singh,131,158,0,6,2,0
1421,Imran Nazir,289,0,0,7,0,0
1422,M Deyal,288,0,0,13,0,0
1423,L Siaka,288,0,0,9,0,0
1424,BJR Martindale,287,0,0,13,0,0
1425,J Wilson,287,0,0,11,0,0
1426,ARS Silva,287,0,0,5,0,0
1427,G Snyman,287,0,0,3,0,0
1428,WPUJC Vaas,286,0,0,10,0,0
1429,M Raj,166,120,0,4,3,0
1430,KD Petersen,286,0,0,6,0,0
1431,PP Chawla,213,60,12,17,6,1
1432,M Morkel,250,33,0,13,1,0
1433,Rameez Shahzad,283,0,0,3,0,0
1434,DM Nakrani,283,0,0,0,0,0
1435,HD Weibgen,281,0,0,5,0,0
1436,SP van der Merwe,281,0,0,5,0,0
1437,JL Curtis,281,0,0,4,0,0
1438,C Kellaway,280,0,0,7,0,0
1439,Hamidullah Qadri,279,0,0,16,0,0
1440,Muhammad Muneeb,279,0,0,7,0,0
1441,C Jonker,279,0,0,6,0,0
1442,MW Forde,277,1,0,13,0,0
1443,HPN Singh,278,0,0,10,0,0
1444,KVA Adikari,278,0,0,2,0,0
1445,Anwar Ali,277,0,0,16,0,0
1446,Kartik Sharma,259,18,0,7,1,0
1447,OFM Sykes,276,0,0,10,0,0
1448,Mehboob Ali,276,0,0,7,0,0
1449,AF Milne,270,0,5,14,0,2
1450,Javed Omar,275,0,0,11,0,0
1451,B Sharki,275,0,0,10,0,0
1452,C Webb,275,0,0,10,0,0
1453,CE Dean,259,16,0,10,0,0
1454,A Hunter,275,0,0,8,0,0
1455,Khurram Manzoor,275,0,0,5,0,0
1456,CD McMillan,274,0,0,11,0,0
1457,AR Nurse,234,0,40,9,0,1
1458,Isa Zaroo,274,0,0,6,0,0
1459,K Anjula,274,0,0,6,0,0
1460,A Bagai,190,84,0,4,1,0
1461,Mohammed Shami,241,32,0,16,3,0
1462,NL McCullum,259,14,0,15,2,0
1463,SL Elstone,273,0,0,15,0,0
1464,Imran Anwar,273,0,0,9,0,0
1465,Amandeep Khare,273,0,0,5,0,0
1466,AM Nayar,146,126,0,6,6,1
1467,Ramandeep Singh,211,55,6,10,2,1
1468,AC Blizzard,183,89,0,6,3,0
1469,Zeeshan Ali (2),272,0,0,8,0,0
1470,AJ Doolan,271,0,0,10,0,0
1471,P Vastrakar,100,150,21,4,4,2
1472,AJ Hall,267,4,0,8,1,0
1473,Priyank Panchal,271,0,0,8,0,0
1474,A Manohar,240,17,13,11,2,2
1475,J Edwards,270,0,0,15,0,0
1476,Ariful Haque,270,0,0,9,0,0
1477,Zeeshan Kukikhel,270,0,0,4,0,0
1478,SC Meaker,268,1,0,16,1,0
1479,LC Johnson,269,0,0,15,0,0
1480,C Hemraj,254,0,15,11,0,1
1481,IA De Silva,269,0,0,9,0,0
1482,JB Lintott,269,0,0,9,0,0
1483,R Sanjay Yadav,90,179,0,3,6,0
1484,Imran Farhat,269,0,0,7,0,0
1485,MW Parkinson,268,0,0,31,0,0
1486,RG White,268,0,0,8,0,0
1487,Sophia Smale,267,0,0,10,0,0
1488,Aniket Verma,249,18,0,9,0,0
1489,C Skelton,267,0,0,4,0,0
1490,WG Bosisto,267,0,0,3,0,0
1491,V Ganesan,267,0,0,2,0,0
1492,LH Ferguson,259,6,0,19,1,0
1493,A Surenkumar,264,0,0,10,0,0
1494,CR McLachlan,264,0,0,10,0,0
1495,JC Tongue,263,0,0,27,0,0
1496,TA Boult,242,5,16,16,0,2
1497,Shuvagata Hom,263,0,0,12,0,0
1498,GR Napier,263,0,0,11,0,0
1499,TL Suman,197,54,12,5,5,1
1500,AE Satterthwaite,239,24,0,9,1,0
1501,Abbas Ghani,263,0,0,9,0,0
1502,N Jagadeesan,224,39,0,8,1,0
1503,Shoaib Khan,263,0,0,6,0,0
1504,YS Samra,263,0,0,6,0,0
1505,R Silva,263,0,0,5,0,0
1506,AW Gorvin,262,0,0,18,0,0
1507,Tayyab Tahir,262,0,0,13,0,0
1508,JK Silva,262,0,0,7,0,0
1509,AM Vaughan,261,0,0,12,0,0
1510,BJ Small,261,0,0,10,0,0
1511,BM Pecic,261,0,0,6,0,0
1512,P Pushparajan,261,0,0,6,0,0
1513,M Marais,261,0,0,4,0,0
1514,R Frylinck,260,0,0,11,0,0
1515,RK Chandraguptha,260,0,0,7,0,0
1516,SS Prabhudessai,251,6,2,6,1,1
1517,Jake Egan,259,0,0,6,0,0
1518,SHT Kandamby,258,0,0,12,0,0
1519,D Hemalatha,258,0,0,11,0,0
1520,S Hicks,258,0,0,9,0,0
1521,Maaz Sadaqat,258,0,0,6,0,0
1522,JM Brodie,257,0,0,11,0,0
1523,KAR Hodge,256,0,0,7,0,0
1524,V Ravindran,256,0,0,7,0,0
1525,CB Wishart,256,0,0,4,0,0
1526,Rajin Saleh,255,0,0,12,0,0
1527,KJ Martin,244,11,0,6,0,0
1528,AP Palladino,254,0,0,19,0,0
1529,CV Anto,254,0,0,11,0,0
1530,F Hand,254,0,0,9,0,0
1531,Mahidul Islam Ankon,254,0,0,8,0,0
1532,Aritra Dutta,254,0,0,7,0,0
1533,Callum Taylor,254,0,0,6,0,0
1534,NM Lyon,240,0,13,20,0,2
1535,AR Patwa,253,0,0,7,0,0
1536,A Ashokan,253,0,0,3,0,0
1537,CJ Haggett,252,0,0,14,0,0
1538,EL Arlott,252,0,0,7,0,0
1539,Sohail Tanvir,246,5,0,15,1,0
1540,TG Helm,251,0,0,15,0,0
1541,VR Rubasinghe,251,0,0,9,0,0
1542,M Coetzee,251,0,0,7,0,0
1543,Vishnu Solanki,251,0,0,5,0,0
1544,R Flintoff,251,0,0,2,0,0
1545,WAE Burton,250,0,0,7,0,0
1546,GS Drissell,249,0,0,15,0,0
1547,MB Kruger,249,0,0,11,0,0
1548,AJ Macleod,249,0,0,7,0,0
1549,Pawan Sandesh,249,0,0,7,0,0
1550,N Davin,249,0,0,5,0,0
1551,HT Crocombe,248,0,0,24,0,0
1552,C McKerr,248,0,0,17,0,0
1553,KH Brunt,223,25,0,10,3,0
1554,E Threlkeld,248,0,0,11,0,0
1555,Aizaz Khan,247,0,0,14,0,0
1556,JL Carter,247,0,0,12,0,0
1557,HH Dippenaar,247,0,0,8,0,0
1558,AB Barath,182,65,0,4,2,0
1559,O Davies,246,0,0,11,0,0
1560,THS Rew,246,0,0,9,0,0
1561,GM Andrew,246,0,0,8,0,0
1562,J Moores,246,0,0,7,0,0
1563,Kuldeep Yadav,165,51,29,16,2,0
1564,J Blackwood,245,0,0,14,0,0
1565,KB Arun Karthik,73,172,0,4,4,0
1566,Shivam Chauhan,126,119,0,5,3,0
1567,Sameer Minhas (2),245,0,0,5,0,0
1568,HG Kumara,245,0,0,3,0,0
1569,SC Cook,244,0,0,8,0,0
1570,Alok Kapali,243,0,0,10,0,0
1571,AB McDonald,243,0,0,7,0,0
1572,BS Makhanya,243,0,0,6,0,0
1573,SA Ahmad,243,0,0,6,0,0
1574,AZ Monaghan,242,0,0,12,0,0
1575,A Norgrove,242,0,0,9,0,0
1576,TG McIntosh,242,0,0,7,0,0
1577,Emma Jones,242,0,0,6,0,0
1578,Samarth Vyas,242,0,0,6,0,0
1579,SB Davey,242,0,0,5,0,0
1580,AD Nath,223,18,0,8,3,0
1581,ZGF Foulkes,241,0,0,10,0,0
1582,RJ Quiney,241,0,0,8,0,0
1583,V Vijh,241,0,0,3,0,0
1584,J Spence,240,0,0,5,0,0
1585,P Kumar,210,29,0,16,4,0
1586,Evan Jones,239,0,0,9,0,0
1587,D Sigera,239,0,0,6,0,0
1588,B Kohler-Cadmore,239,0,0,4,0,0
1589,C Heenatigala,239,0,0,4,0,0
1590,AJ Neal,238,0,0,6,0,0
1591,CJ McInerney,237,0,0,4,0,0
1592,MW Snedden,236,0,0,12,0,0
1593,JKH Naik,236,0,0,8,0,0
1594,R Chopra,236,0,0,7,0,0
1595,CJ Simmons,236,0,0,6,0,0
1596,Kevin Perera,236,0,0,5,0,0
1597,KDK Vithanage,236,0,0,4,0,0
1598,JA Duffy,235,0,0,26,0,0
1599,LC Norwell,235,0,0,12,0,0
1600,JD Vandiar,235,0,0,7,0,0
1601,Kumar Deobrat,235,0,0,6,0,0
1602,Mohammad Ihsan,235,0,0,2,0,0
1603,Shahadat Hossain,234,0,0,17,0,0
1604,BMJ Allison,234,0,0,10,0,0
1605,M Van Buuren,234,0,0,10,0,0
1606,M Louis,234,0,0,9,0,0
1607,L McCarthy,234,0,0,8,0,0
1608,PJ Forrest,234,0,0,7,0,0
1609,T Poynton,233,0,0,15,0,0
1610,Shashank Chandrakar,233,0,0,8,0,0
1611,S Malshan,233,0,0,4,0,0
1612,RS Morton,232,0,0,15,0,0
1613,Isaac Mohammed,232,0,0,10,0,0
1614,AW Finch,232,0,0,9,0,0
1615,CO Thurston,232,0,0,9,0,0
1616,MA Ouma,232,0,0,8,0,0
1617,Naushad Shaikh,232,0,0,4,0,0
1618,T Mishra,232,0,0,4,0,0
1619,FFZ Nhaduate,232,0,0,3,0,0
1620,A Griffiths,231,0,0,16,0,0
1621,C Wijesinghe,231,0,0,10,0,0
1622,Karim Janat,231,0,0,9,0,0
1623,DM Sarathchandra,231,0,0,7,0,0
1624,KA Jamieson,197,33,0,13,3,0
1625,KS Bharat,147,83,0,10,3,0
1626,K Gowtham,229,0,1,7,1,1
1627,RP Arnold,230,0,0,8,0,0
1628,SP Terry,230,0,0,6,0,0
1629,GJ Hopkins,230,0,0,5,0,0
1630,Tajinder Singh,229,0,0,10,0,0
1631,B Niaz,229,0,0,6,0,0
1632,TN Cullen,229,0,0,4,0,0
1633,CM Carroll,229,0,0,2,0,0
1634,OP Rayner,228,0,0,17,0,0
1635,Naseem Khushi,228,0,0,10,0,0
1636,B Parsons,228,0,0,6,0,0
1637,EMDY Munaweera,227,0,0,10,0,0
1638,AM McCarthy,227,0,0,9,0,0
1639,V Saini,227,0,0,7,0,0
1640,ND Dattani,226,0,0,11,0,0
1641,RJ Peterson,225,1,0,10,1,0
1642,S Gunathilaka,226,0,0,8,0,0
1643,J Grewcock,226,0,0,2,0,0
1644,DJ Worrall,225,0,0,19,0,0
1645,MK O'Riordan,225,0,0,15,0,0
1646,L Guthrie,225,0,0,12,0,0
1647,NND de Silva,225,0,0,6,0,0
1648,SC Kerrigan,224,0,0,10,0,0
1649,Aryansh Sharma,224,0,0,9,0,0
1650,SJ Magoffin,223,0,0,23,0,0
1651,Himanshu Rana,202,21,0,7,3,0
1652,MLL Taylor,223,0,0,9,0,0
1653,JC Mickleburgh,223,0,0,8,0,0
1654,LD Hearne,223,0,0,8,0,0
1655,Aziz Mohammad,223,0,0,6,0,0
1656,MA Butcher,223,0,0,4,0,0
1657,RM Hira,222,0,0,8,0,0
1658,XC Bartlett,222,0,0,8,0,0
1659,AS Basra,222,0,0,7,0,0
1660,Tillakaratne Sampath,222,0,0,7,0,0
1661,JM Cooke,222,0,0,5,0,0
1662,AS Dale,220,0,0,18,0,0
1663,JF Smith,220,0,0,9,0,0
1664,H Carlyon,220,0,0,8,0,0
1665,EJM Cowan,220,0,0,7,0,0
1666,JM Blatherwick,220,0,0,7,0,0
1667,S Hapuhinna,220,0,0,6,0,0
1668,Shaiman Anwar,220,0,0,6,0,0
1669,Hammad Mirza,220,0,0,5,0,0
1670,Sheikh Rasik,220,0,0,1,0,0
1671,Zeeshan Khan,219,0,0,9,0,0
1672,BM Halliday,219,0,0,6,0,0
1673,Ali Naseer,219,0,0,5,0,0
1674,WA Agar,218,0,0,15,0,0
1675,AF Giles,218,0,0,9,0,0
1676,Sompal Kami,192,26,0,8,0,0
1677,V Thewmika,218,0,0,7,0,0
1678,TJ Murtagh,217,0,0,12,0,0
1679,KTH Ratnayake,217,0,0,10,0,0
1680,S Milenko,217,0,0,7,0,0
1681,CR Brown,217,0,0,6,0,0
1682,GP Swann,215,1,0,12,0,0
1683,Sneh Rana,180,10,26,8,2,2
1684,Aadi Sharma,216,0,0,9,0,0
1685,Saeed Ajmal,215,0,0,16,0,0
1686,EK Marlow,215,0,0,10,0,0
1687,TS Rogers,215,0,0,9,0,0
1688,PC de Silva,214,0,0,17,0,0
1689,NN Gilchrist,214,0,0,16,0,0
1690,A Mishra,159,25,30,8,3,1
1691,GD Cross,214,0,0,10,0,0
1692,Aliya Riaz,214,0,0,8,0,0
1693,SHB Morgan,214,0,0,5,0,0
1694,IC Gaze,214,0,0,4,0,0
1695,WSA Williams,213,0,0,16,0,0
1696,Habibul Bashar,213,0,0,14,0,0
1697,Fayaz Khan,213,0,0,7,0,0
1698,Shaheryar Butt,213,0,0,6,0,0
1699,Faheem Nazir,213,0,0,5,0,0
1700,Karan KC,192,20,0,7,1,0
1701,SKS Gill,212,0,0,6,0,0
1702,TSS Mackintosh,212,0,0,6,0,0
1703,T Kelly,211,0,0,8,0,0
1704,Ahmer Bin Nisar,210,0,0,10,0,0
1705,AJ Pienaar,210,0,0,9,0,0
1706,Anand Singh,210,0,0,8,0,0
1707,SJ Harmison,209,0,0,14,0,0
1708,Mukhtar Ahmed,209,0,0,10,0,0
1709,I Kaia,209,0,0,6,0,0
1710,MG Vandort,209,0,0,6,0,0
1711,M Simpson-Parker,209,0,0,1,0,0
1712,Q Joseph,208,0,0,9,0,0
1713,Qaiser Ali,208,0,0,2,0,0
1714,I Sharma,184,19,4,21,3,2
1715,BNJ Lockrose,207,0,0,13,0,0
1716,WJ Weighell,207,0,0,12,0,0
1717,BJ Wright,207,0,0,11,0,0
1718,SA Campbelle,207,0,0,9,1,0
1719,Sibsankar Roy,94,113,0,1,3,0
1720,MJ Swepson,206,0,0,9,0,0
1721,Aamir Kaleem,206,0,0,7,0,0
1722,GJ Snyman,206,0,0,7,0,0
1723,R Vinay Kumar,139,55,11,6,4,1
1724,PE Kruger,205,0,0,10,0,0
1725,G Singh,205,0,0,7,0,0
1726,OJ Hairs,205,0,0,7,0,0
1727,ES Szwarczynski,205,0,0,6,0,0
1728,Ziaur Rahman,204,0,0,11,0,0
1729,Sahil Chauhan,204,0,0,4,0,0
1730,JI Hope-Bell,204,0,0,3,0,0
1731,Irfan Ringku,203,0,0,6,0,0
1732,Mohammad Ahnaff,203,0,0,5,0,0
1733,FDW McCreath,202,0,0,7,0,0
1734,PN Mankad,198,4,0,7,0,0
1735,Nakul Verma,202,0,0,5,0,0
1736,A King,131,59,11,12,2,1
1737,J Yadav,72,122,7,3,3,2
1738,S Wickramasekara,201,0,0,8,0,0
1739,Yasim Murtaza,201,0,0,8,0,0
1740,Manan Ali,201,0,0,7,0,0
1741,B Arora,201,0,0,5,0,0
1742,RD Harrison,201,0,0,5,0,0
1743,AN Lascu,201,0,0,3,0,0
1744,Mohammad Maaz Khan,201,0,0,3,0,0
1745,NM Coulter-Nile,196,3,1,12,0,0
1746,SJ Benn,200,0,0,11,0,0
1747,A Daniel,200,0,0,9,0,0
1748,Zubair Ali,200,0,0,4,0,0
1749,HB Dickson,200,0,0,2,0,0
1750,GI Hume,198,0,0,9,0,0
1751,Abdur Rehman,198,0,0,7,0,0
1752,A Karvelas,197,0,0,13,0,0
1753,WEL Buttleman,197,0,0,12,0,0
1754,DN Wellalage,197,0,0,10,0,0
1755,E Corney,197,0,0,8,0,0
1756,Muhammad Naeem (2),197,0,0,7,0,0
1757,J Carty,197,0,0,5,0,0
1758,S Vesawkar,197,0,0,3,0,0
1759,R Rampaul,163,33,0,16,2,0
1760,Sohag Gazi,196,0,0,15,0,0
1761,N Vanua,196,0,0,8,0,0
1762,SMA Priyanjan,196,0,0,7,0,0
1763,BJ Pomare,196,0,0,5,0,0
1764,Arpit Vasavada,196,0,0,3,0,0
1765,LC Ngoepe,195,0,0,10,0,0
1766,S Matsikenyeri,195,0,0,9,0,0
1767,Swapnil Singh,185,0,10,7,1,1
1768,L Shaw,195,0,0,3,0,0
1769,S Conners,194,0,0,16,0,0
1770,BD Cotton,194,0,0,10,0,0
1771,MD Bates,194,0,0,7,0,0
1772,SA Wijeratne,194,0,0,7,0,0
1773,Arslan Amjad,194,0,0,5,0,0
1774,KAJ Roach,178,0,15,17,0,0
1775,T Mayes,193,0,0,13,0,0
1776,DJ Ahmed,193,0,0,9,0,0
1777,WA White,193,0,0,8,0,0
1778,JS Rymell,193,0,0,7,0,0
1779,PA Franklin,193,0,0,6,0,0
1780,Ahmed Hassan (2),193,0,0,4,0,0
1781,AV Wankhade,112,81,0,2,2,0
1782,S Jafta,192,0,0,9,0,0
1783,WK Dilhari,192,0,0,5,0,0
1784,Avishka Iroshan,192,0,0,4,0,0
1785,R Moonsamy,192,0,0,4,0,0
1786,Hiten Dalal,103,88,0,4,4,0
1787,D Schadendorf,191,0,0,7,0,0
1788,HJ Manenti,191,0,0,5,0,0
1789,AR Easwaran,90,101,0,2,2,0
1790,J McKenzie,191,0,0,3,0,0
1791,P Mishra,190,0,0,9,0,0
1792,Shahid Afridi (2),190,0,0,8,0,0
1793,OJ Hannon-Dalby,189,0,0,19,0,0
1794,VB van Jaarsveld,189,0,0,9,0,0
1795,L Paul,189,0,0,8,0,0
1796,PM Nevill,189,0,0,8,0,0
1797,K Mirpuri,189,0,0,5,0,0
1798,S Lakshan,189,0,0,3,0,0
1799,T Muller,188,0,0,11,0,0
1800,MNM Aslam,188,0,0,10,0,0
1801,CD Wallace,188,0,0,8,0,0
1802,G Kirsten,188,0,0,5,0,0
1803,Suryansh Shedge,188,0,0,5,0,0
1804,AJ Blackwell,188,0,0,3,0,0
1805,S Muniandy,187,0,0,10,0,0
1806,NM Hauritz,172,15,0,6,2,0
1807,LJ Carey,187,0,0,6,0,0
1808,T Harshana,187,0,0,6,0,0
1809,T Munyonga,173,14,0,5,1,0
1810,L Banks,187,0,0,5,0,0
1811,AE Paraam,187,0,0,2,0,0
1812,HJH Brookes,186,0,0,14,0,0
1813,MB McEwan,186,0,0,8,0,0
1814,Sumit Kumar,154,32,0,6,1,0
1815,RM Duffy,186,0,0,6,0,0
1816,B Bhandari,186,0,0,5,0,0
1817,S Sesazi,186,0,0,5,0,0
1818,TR Cornall,186,0,0,5,0,0
1819,Taskin Ahmed,185,0,0,22,0,0
