S.no,Player Name,Runs in Flat Pitches,Runs in Red Soil Pitches,Runs in Black Soil Pitches,Dismissals in Flat Pitches,Dismissals in Red Soil Pitches,Dismissals in Black Soil Pitches
222,AHT Donald,3187,0,0,88,0,0
223,MS Harris,3166,0,0,76,0,0
224,JP Duminy,2956,173,21,59,2,1
225,MT Renshaw,3038,0,99,51,0,2
226,SE Rutherford,2909,212,0,87,4,0
227,LWP Wells,3108,0,0,91,0,0
228,MK Pandey,2734,299,55,55,10,2
229,JDS Neesham,3082,0,0,89,0,1
230,BD Guest,3050,0,0,72,0,0
231,P Nissanka,3001,1,33,71,2,1
232,M Klinger,3024,0,0,55,0,0
233,GC Smith,2967,49,0,56,2,0
234,HZ Finch,3014,0,0,96,0,0
235,CD Nash,2983,0,0,79,0,0
236,N Dickwella,2962,1,4,84,1,1
237,PWA Mulder,2956,0,0,65,0,0
238,DM de Silva,2877,8,60,71,1,2
239,ME Trescothick,2940,0,0,59,0,0
240,DT Christian,2873,32,33,80,3,1
241,DJ Bravo,2691,201,45,86,9,2
242,DR Smith,2521,345,63,79,13,2
243,MA Agarwal,2171,452,279,63,13,6
244,GL van Buuren,2893,0,0,67,0,0
245,LA Procter,2888,0,0,59,0,0
246,SJ Mullaney,2886,0,0,86,0,0
247,L Ronchi,2875,8,0,71,1,0
248,ML Hayden,2823,59,0,48,3,0
249,JA Haynes,2875,0,0,69,0,0
250,RM Yates,2874,0,0,64,0,0
251,OJ Price,2845,0,0,75,0,0
252,HT Tector,2840,0,0,62,0,0
253,JA Rudolph,2835,0,0,65,0,0
254,H Kaur,2597,79,151,50,7,3
255,DP Hughes,2825,0,0,67,0,0
256,SJ Croft,2811,0,0,68,0,0
257,WT Root,2808,0,0,75,0,0
258,MW Short,2792,11,0,73,1,0
259,JI Rodrigues,2338,372,90,50,11,2
260,CJ Anderson,2634,163,2,62,6,0
261,RD Gaikwad,2250,338,200,55,11,3
262,DKH Mitchell,2770,0,0,76,0,0
263,LMP Simmons,2277,487,0,72,13,0
264,AC Gilchrist,2641,91,0,59,5,0
265,EA Perry,2526,203,0,43,5,0
266,BG Compton,2719,0,0,65,0,0
267,JO Holder,2579,73,57,91,5,4
